,2023-01-06 00:00:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2289.969970703125,1.11,2.34,-4.05,2.49,-27.54,2972.47998046875,2155.489990234375
KOSDAQ,688.9400024414062,1.31,1.4,-4.24,-1.39,-42.29,995.1599731445312,651.5900268554688
DOW,33630.609375,2.08,1.44,0.1,12.89,-7.75,36290.3203125,28725.509765625
S&P,3895.080078125,2.23,1.43,-1.0,6.56,-20.56,4726.35009765625,3577.030029296875
NASSDAQ,10569.2900390625,2.5,0.97,-3.68,-0.79,-42.69,15188.3896484375,10213.2900390625
일본(Nikkei225),25973.849609375,0.59,-0.46,-6.59,-4.4,-9.68,29222.76953125,24717.529296875
유럽(Euro Stoxx 50),4017.830078125,1.45,5.58,2.41,15.99,-7.64,4324.81005859375,3279.0400390625
중국(상해),3157.639892578125,0.0,2.17,-1.26,5.81,-13.36,3597.429931640625,2886.429931640625
홍콩(H),20991.640625,-0.29,5.77,10.37,15.49,-9.91,24965.55078125,14687.01953125
국채 10Y,3.573,0.3,-16.2,6.3,-63.7,109.2,4.655,2.397
국채 2Y,3.7,0.9,-9.1,-6.3,-48.5,182.3,4.489,1.808
회사채AA-,5.014,-0.5,-18.3,-39.6,-36.4,241.9,5.76,2.52
Dollar Index,103.41999816894531,-0.22,0.15,-1.29,-9.33,7.44,114.0469970703125,94.7750015258789
USD/KRW,1253.489990234375,-1.65,-0.59,-4.84,-12.96,3.81,1443.9599609375,1185.8800048828125
EUR,1.0522217750549316,0.0,-1.78,0.09,7.48,-7.36,1.1457115411758423,0.9596191644668579
GBP,1.1912277936935425,0.0,-1.75,-2.52,7.05,-13.61,1.3713659048080444,1.072754144668579
JPY,133.3070068359375,0.0,1.85,-2.31,-9.13,13.08,150.17599487304688,113.78500366210938
CNH,6.83650016784668,-0.66,-0.88,-1.99,-4.07,6.65,7.303800106048584,6.3084001541137695
WTI,74.44999694824219,0.91,-7.8,4.02,-22.4,-5.98,123.69999694824219,71.0199966430664
Brent,79.36000061035156,1.0,-8.25,4.04,-21.21,-3.01,127.9800033569336,76.0999984741211
금,1880.300048828125,0.86,3.22,4.87,11.33,4.43,2040.0999755859375,1623.300048828125
은,24.184999465942383,1.5,1.34,4.64,19.14,7.41,26.88800048828125,17.551000595092773
철광석,450.0,0.0,5.56,14.44,14.0,-24.89,900.0,350.0
구리,3.9579999446868896,1.25,3.85,1.96,12.75,-11.24,4.928999900817871,3.2105000019073486
옥수수,654.25,0.04,-3.71,3.4,-6.73,7.26,818.25,564.25
밀,833.25,0.15,-6.57,-3.27,-22.92,6.99,1367.75,745.0
커피,158.4499969482422,0.0,-5.59,0.98,-37.24,-50.49,258.3500061035156,151.3000030517578
천연가스,3.8450000286102295,3.51,-16.38,-55.06,-67.36,-1.85,9.680000305175781,3.7100000381469727
알루미늄,2285.25,0.0,-5.47,-9.24,1.19,-26.22,3873.0,2098.75
