,2022-12-28 0:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2313.689941,0,-0.66,-4.09,6.17,-30.54,3020.23999,2155.48999
KOSDAQ,691.25,0,-2.09,-3.86,2.34,-48.64,1033.97998,651.5900269
DOW,33203.92969,0,-0.52,-1.94,11.98,-9.62,36799.64844,28725.50977
S&P,3844.820068,0,-0.87,-3.1,5.31,-24.49,4796.560059,3577.030029
NASSDAQ,10497.86035,0,-2.01,-5.25,-2.28,-50.33,15832.7998,10321.38965
일본(Nikkei225),26235.25,0,-0.58,-7.35,-0.71,-10.8,29332.16016,24717.5293
유럽(Euro Stoxx 50),3817.01001,0,-1.44,-3.1,14.09,-12.97,4392.149902,3279.040039
중국(상해),3045.865967,0,-0.74,-1.07,0.15,-19.18,3639.780029,2886.429932
홍콩(H),19593.06055,0,2.21,11.71,12.39,-18.82,24965.55078,14687.01953
국채 10Y,3.675,6.3,10.8,6.5,-55.2,147.9,4.655,2.175
국채 2Y,3.779,1.8,2,-2.8,-54.6,209.7,4.489,1.67
회사채AA-,5.176,-1.2,-6,-24.9,-21.7,276.5,5.76,2.396
Dollar Index,104.0100021,0,0.16,-2.52,-7.88,7.51,114.0469971,94.77500153
USD/KRW,1290.199951,0,0.51,-3.44,-10.21,8.1,1443.959961,1183.670044
EUR,1.060333014,0,-0.22,2.22,8.44,-6.85,1.145711541,0.959619164
GBP,1.203992486,0,-1.24,-0.12,10,-11.65,1.371365905,1.072754145
JPY,132.3569946,0,0.35,-5.09,-9.1,13.27,150.1759949,113.7850037
CNH,6.982999802,0,0.32,-2.69,-3.09,8.78,7.303800106,6.308400154
WTI,79.55999756,0,1.6,2.92,-2.1,4.5,123.6999969,71.01999664
Brent,83.91999817,0,2.05,0.87,-5.45,5.93,127.9800034,76.09999847
금,1795.900024,0,-1.11,3.11,7.65,-0.8,2040.099976,1623.300049
은,23.76399994,0,-1.14,12.01,21.68,2.75,26.88800049,17.5510006
철광석,433,0,0,11.09,7.62,-35.1,900,350
구리,3.802999973,0,-0.08,5.06,9.55,-16.22,4.928999901,3.210500002
옥수수,666.25,0,0.6,-0.38,-0.49,9.23,818.25,564.25
밀,874.75,0,1.23,-3.43,-10.52,6.06,1367.75,745
커피,172,0,1.54,6.6,-31.22,-31.16,258.3500061,151.3000031
천연가스,5.078999996,0,-4.98,-32.15,-35.34,20.16,9.680000305,3.561000109
알루미늄,2413.5,0,0.48,2.13,9.15,-16.35,3873,2098.75
