,2023-01-05 00:00:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2264.64990234375,0.38,1.25,-5.67,1.4,-30.44,2972.47998046875,2155.489990234375
KOSDAQ,679.9199829101562,-0.55,0.09,-5.81,-2.73,-48.49,1009.6199951171875,651.5900268554688
DOW,32930.078125,-1.03,-0.88,-2.02,11.03,-10.56,36407.109375,28725.509765625
S&P,3808.10009765625,-1.18,-1.08,-3.5,4.42,-23.44,4726.35009765625,3577.030029296875
NASSDAQ,10305.240234375,-1.49,-1.68,-6.89,-3.37,-46.53,15188.3896484375,10213.2900390625
일본(Nikkei225),25820.80078125,0.4,-1.06,-8.0,-5.02,-13.6,29332.16015625,24717.529296875
유럽(Euro Stoxx 50),3959.47998046875,-0.37,2.76,0.51,14.75,-10.93,4392.14990234375,3279.0400390625
중국(상해),3155.219970703125,1.0,2.58,-1.82,4.15,-13.94,3597.429931640625,2886.429931640625
홍콩(H),21052.169921875,1.23,6.23,7.65,15.73,-8.81,24965.55078125,14687.01953125
국채 10Y,3.57,-2.8,-15.3,6.7,-64.6,119.5,4.655,2.375
국채 2Y,3.691,0.0,-11.8,-8.7,-48.6,189.8,4.489,1.793
회사채AA-,5.019,-0.4,-17.8,-35.0,-35.9,252.2,5.76,2.497
Dollar Index,104.8280029296875,0.77,1.18,-0.68,-7.49,8.25,114.0469970703125,94.7750015258789
USD/KRW,1271.0799560546875,-0.63,-0.25,-2.62,-10.81,5.87,1443.9599609375,1185.8800048828125
EUR,1.0606365203857422,0.56,-0.22,1.03,7.71,-6.39,1.1457115411758423,0.9596191644668579
GBP,1.2057054042816162,0.72,0.24,-1.12,7.42,-12.23,1.3713659048080444,1.072754144668579
JPY,132.24600219726562,0.75,-1.35,-3.33,-9.67,12.15,150.17599487304688,113.78500366210938
CNH,6.887800216674805,-0.38,-1.3,-1.06,-3.3,7.75,7.303800106048584,6.3084001541137695
WTI,73.66999816894531,1.13,-6.42,-0.79,-25.75,-5.67,123.69999694824219,71.0199966430664
Brent,78.69000244140625,1.08,-4.54,-0.84,-24.44,-2.68,127.9800033569336,76.0999984741211
금,1834.800048828125,-0.98,0.83,3.57,7.32,0.56,2040.0999755859375,1623.300048828125
은,23.257999420166016,-2.3,-3.53,4.88,13.18,0.46,26.88800048828125,17.551000595092773
철광석,450.0,1.11,3.33,14.44,11.11,-29.78,900.0,350.0
구리,3.818000078201294,2.06,-0.08,0.17,10.62,-15.36,4.928999900817871,3.2105000019073486
옥수수,652.75,-0.15,-4.1,4.17,-4.67,7.74,818.25,564.25
밀,839.75,-0.12,-3.19,-0.71,-15.36,6.28,1367.75,745.0
커피,160.5500030517578,-0.47,-5.92,-0.31,-35.85,-44.35,258.3500061035156,151.3000030517578
천연가스,3.7200000286102295,-12.15,-22.55,-47.02,-81.4,-4.35,9.680000305175781,3.7200000286102295
알루미늄,2262.75,-0.32,-7.24,-10.64,-1.46,-27.1,3873.0,2098.75
