,2022-01-06 00:00:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2953.969970703125,0.0,-0.8,-1.28,-0.08,-0.48,3305.2099609375,2839.010009765625
KOSDAQ,1009.6199951171875,0.0,-2.41,1.29,5.6,2.8,1060.0,890.0700073242188
DOW,36407.109375,0.0,0.02,1.89,4.56,15.32,36799.6484375,29982.619140625
S&P,4700.580078125,0.0,-1.66,0.29,6.58,20.26,4796.56005859375,3714.239990234375
NASSDAQ,15100.169921875,0.0,-4.25,-3.89,3.45,15.62,16057.4404296875,12609.16015625
일본(Nikkei225),29332.16015625,0.0,1.84,2.99,4.37,7.76,30670.099609375,27013.25
유럽(Euro Stoxx 50),4392.14990234375,0.0,1.96,2.64,7.26,17.78,4401.490234375,3481.43994140625
중국(상해),3595.179931640625,0.0,-0.67,0.0,0.08,1.23,3715.3701171875,3357.739990234375
홍콩(H),22907.25,0.0,-0.89,-4.7,-8.43,-20.89,31084.939453125,22744.859375
국채 10Y,2.481,10.6,23.3,24.1,10.5,75.0,2.583,1.693
국채 2Y,1.877,8.4,20.5,12.2,34.0,102.0,1.877,0.826
회사채AA-,2.595,9.8,18.5,14.9,44.9,122.2,2.601,1.299
Dollar Index,96.18199920654297,0.0,0.23,-0.2,2.19,6.95,96.87200164794922,89.50199890136719
USD/KRW,1196.5,0.0,1.07,1.33,0.45,9.2,1199.8599853515625,1086.449951171875
EUR,1.1283625364303589,0.0,-0.68,-0.03,-2.45,-9.01,1.2341108322143555,1.1202975511550903
GBP,1.353143334388733,0.0,0.24,1.97,-0.66,-0.73,1.4226775169372559,1.3210004568099976
JPY,116.17400360107422,0.0,1.06,2.34,3.88,11.62,116.17400360107422,102.6780014038086
CNH,6.354300022125244,0.0,-0.2,-0.32,-1.43,-1.59,6.571000099182129,6.343699932098389
WTI,77.8499984741211,0.0,1.1,7.45,-1.93,34.96,84.6500015258789,50.630001068115234
Brent,80.80000305175781,0.0,1.83,6.63,-1.97,32.8,86.4000015258789,54.29999923706055
금,1824.5999755859375,0.0,0.65,2.3,3.74,-4.51,1912.300048828125,1677.699951171875
은,23.149999618530273,0.0,0.53,2.86,2.03,-16.51,29.398000717163086,21.458999633789062
철광석,584.0,0.0,0.68,-4.11,-1.88,15.24,684.0,475.0
구리,4.4045000076293945,0.0,0.45,1.51,2.76,17.13,4.778500080108643,3.5390000343322754
옥수수,602.25,0.0,1.04,2.66,11.91,17.81,772.75,492.25
밀,787.0,0.0,-3.27,-5.11,6.29,23.32,878.75,555.5
커피,231.75,0.0,1.25,-5.24,13.12,47.83,250.1999969482422,120.9000015258789
천연가스,3.881999969482422,0.0,8.27,4.48,-43.35,30.04,6.311999797821045,2.446000099182129
알루미늄,2876.0,0.0,3.25,9.54,-4.7,29.14,3202.5,1929.5
